488;289;0
788;556;1
258;530;2
497;833;3
243;258;4
527;308;5
208;413;6
621;491;8
622;493;7
335;587;9
766;212;10
237;693;11
791;593;12
574;311;13
574;313;14
582;115;15
649;595;16
649;600;17
649;589;18
813;687;19
712;405;20
712;405;21
746;753;22
746;753;23
744;811;24
85;832;25
201;631;26
435;310;27
902;237;28
877;262;29
171;505;30
731;354;31
560;448;32
560;442;33
791;360;34
252;779;35
48;768;37
68;749;36
478;500;38
362;255;39
672;562;40
770;359;41
834;602;42
892;669;43
504;380;44
311;698;45
633;763;46
560;678;47
458;144;48
570;742;49
313;517;50
313;516;51
134;742;52
221;706;54
237;433;55
231;438;56
231;438;57
762;571;58
443;442;59
442;443;60
644;563;61
677;802;62
659;359;63
544;282;64
598;400;65
907;682;66
527;545;67
527;557;68
528;543;69
538;537;70
527;548;71
351;934;72
511;582;73
516;641;74
712;369;75
262;720;76
327;530;77
334;537;78
328;532;79
296;816;80
246;866;81
723;256;82
585;802;83
765;788;84
283;386;85
735;435;86
708;272;87
892;545;88
883;934;89
882;915;90
883;897;91
821;334;92
791;707;93
791;707;94
507;767;95
512;773;96
767;731;97
227;657;98
360;698;99
362;698;100
446;740;101
115;320;102
353;367;103
118;770;104
719;633;105
385;729;106
644;508;107
789;192;108
291;496;109
291;496;110
263;748;111
270;163;112
429;773;113
904;496;114
830;493;115
830;495;116
648;714;117
646;720;118
687;667;119
676;679;120
623;372;121
628;373;122
627;373;123
629;332;124
627;333;125
408;193;126
262;467;127
554;803;128
686;432;129
98;299;130
385;249;131
398;443;132
397;443;133
832;295;134
569;549;135
569;550;136
312;575;137
312;576;138
212;549;139
638;421;140
116;674;141
710;335;142
710;334;143
711;332;144
192;715;145
786;389;146
514;262;147
591;686;148
589;693;149
204;474;150
625;310;151
791;158;152
383;283;153
263;680;154
263;685;155
263;680;156
116;593;157
287;600;158
486;264;159
731;313;160
604;866;161
485;400;162
673;615;163
588;769;164
527;531;165
154;359;166
818;795;167
386;346;168
678;340;169
682;347;170
255;269;171
230;799;172
453;549;173
456;643;174
332;503;175
332;501;176
334;506;177
220;893;178
742;888;179
303;196;180
906;530;181
433;169;182
906;358;183
606;843;184
883;878;185
882;860;186
352;875;187
352;903;188
313;326;189
849;588;190
545;263;191
546;263;192
100;815;193
629;251;194
541;658;195
116;715;196
116;715;197
118;742;198
117;741;199
808;722;200
160;732;201
346;449;202
343;444;203
304;364;204
766;681;205
423;740;206
429;735;207
423;740;208
430;736;209
505;798;210
762;462;211
803;622;212
812;614;213
806;620;214
810;616;215
645;802;216
478;385;217
450;710;218
677;481;219
677;481;220
488;642;221
489;637;222
417;462;223
422;467;224
417;463;225
758;295;226
417;549;227
418;548;228
737;481;229
172;601;230
375;740;231
375;740;232
856;458;233
416;797;234
788;522;235
831;667;236
725;872;237
488;311;238
489;309;239
209;823;240
569;713;241
614;801;242
607;801;243
610;802;244
385;309;245
385;310;246
820;390;247
820;384;248
393;820;249
553;373;250
231;245;251
135;339;252
66;849;253
581;593;254
480;550;255
148;441;256
820;743;257
178;381;258
87;731;259
634;859;260
703;859;261
473;854;262
872;496;263
669;858;264
341;234;265
268;281;266
799;764;267
515;222;268
864;574;269
794;295;270
118;794;271
384;223;272
370;843;273
272;841;274
845;634;275
628;225;276
740;240;277
879;387;278
879;382;279
845;354;280
417;504;281
417;504;282
747;391;283
788;496;284
788;495;285
287;300;286
711;788;287
649;667;288
442;489;289
595;523;290
116;634;291
490;748;292
490;749;293
427;677;294
742;656;295
741;656;296
694;538;297
471;443;298
472;447;299
693;286;300
878;559;301
353;316;302
508;442;303
509;448;304
759;496;305
126;547;306
780;588;307
382;632;308
564;503;309
565;502;310
651;469;311
665;455;312
652;465;314
659;459;313
654;464;315
724;533;316
359;428;317
517;131;318
611;88;319
881;424;320
329;663;321
488;348;322
448;637;323
527;787;324
398;413;325
390;407;326
383;406;327
876;652;328
650;743;329
496;613;330
603;584;331
324;464;332
435;698;333
434;663;334
644;535;335
515;500;336
530;237;337
358;609;338
683;318;339
684;314;340
684;321;341
587;444;342
586;443;343
587;444;344
603;616;345
404;653;346
403;654;347
337;725;348
326;707;349
639;473;350
259;410;351
606;822;352
424;385;353
169;548;354
168;548;355
376;548;356
855;390;357
382;676;358
314;616;359
322;793;360
465;734;361
181;476;362
607;933;363
607;892;364
606;913;365
328;342;366
329;342;367
345;768;368
743;551;369
298;312;370
261;636;371
865;841;372
147;715;373
858;281;374
527;511;375

